链接,图片链接,标题,价格,人数,评论人数,景点,供应商,时间,出发地/旅行团/著名景点,标签
http://www.tuniu.com/tour/210483976,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<德国+法国+瑞士+意大利+布鲁塞尔13日游>升级五星酒店奥特莱斯雪朗峰 塞纳河 黄金大运河新天鹅堡 热那亚 摩纳哥 尼斯 戛纳,￥16554,100%,7,1人,",协和广场，圣马可教堂，新天鹅堡，摩纳哥大教堂，凡尔赛宫，圣彼得教堂，塞纳河，卢克索方尖碑，圣马可广场，蒙特卡罗",中旅总社,国庆，9月12日，9月25日，9月26日，10月1日，10月3日，10月9日，10月15日，10月17日，10月24日,",北京出发| 北京成团| 雪朗峰 塞纳河游船 猪肘餐 卢浮宫 意大利特色餐",null
http://www.tuniu.com/tour/210641354,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德法瑞意11-14日游>一价全含，西安起止，五渔村，圣吉米尼亚诺，新天鹅堡，高天鹅堡，朱丽叶故居，金色山口快车，高性价比，拒签全退,￥13414,100%,7,1人,",叹息桥，协和广场，慕尼黑新市政厅，威尼斯总督府，新天鹅堡，琉森湖，罗马斗兽场，凡尔赛宫，圣马可广场，古罗马废墟",9月2日，9月12日，9月17日，9月29日，10月16日，10月21日，10月29日,,",西安出发| 西安成团| 意大利深度 德国新天鹅堡 朱丽叶故居 特色风味餐 瑞士双城 1晚特色酒...",湖光山色可异地按指纹有自由活动
http://www.tuniu.com/tour/210575172,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国-意大利-瑞士三国11-12日游>一价全含金色山口罗马巴黎深度游，五渔村，雪朗峰，卢浮宫凡尔赛，塞纳河游船，贡多拉，特色餐，加双天鹅堡,￥14632,100%,2,1人,",瓦杜兹Vaduz，叹息桥，协和广场，圣马可教堂，塞纳河，道奇宫，圣马可广场，雪朗峰，圣心教堂，卢浮宫",优加旅游,9月2日，9月13日，10月27日,",北京出发| 北京成团| 007雪朗峰 卢浮宫 凡尔赛宫 贡多拉 塞纳河游船",null
http://www.tuniu.com/tour/210582422,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国+瑞士+意大利14日游>哈尔滨起止录指纹，意深全含四五星，少女峰，金色山口，双宫含讲解，双游船，五渔村，比萨，the mall，特色餐,￥19388,100%,2,1人,",金色山口快车，五渔村，巴黎塞纳河游船，比萨斜塔，罗马斗兽场，卢浮宫，凡尔赛宫，凯旋门，香波堡，少女峰",全景旅游,9月15日，9月29日，10月13日,",哈尔滨出发| 哈尔滨成团| 斗兽场 1晚五星 一件全含 少女峰",湖光山色可异地按指纹有自由活动
http://www.tuniu.com/tour/210554523,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<希腊+土耳其16日游>含签证费，78月圣岛升级一晚五星，深圳起止，土耳其全境，雅典/2晚圣托里尼岛，全程四星/五星酒店，土耳其航空,￥12074,87%,22,2人,",博斯普鲁斯海峡，无名战士纪念碑，圣托里尼岛，君士坦丁堡，希拉波利斯古城，棉花堡，特洛伊古城，宪法广场，鸽子谷，托普卡普宫",五洲行（深圳）,10月12日，10月22日，11月11日，11月25日，12月2日，12月30日，1月6日，1月20日，2月10日，2月17日，3月3日，3月17日,",深圳出发| 深圳成团| 香港直飞 蓝色清真寺 托普卡普皇宫 番红花城",null
http://www.tuniu.com/tour/210649364,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯贝加尔湖8日游>郑州起止，无购物，奥利洪岛偶遇淡水海豹，东方小巴黎伊尔库茨克，世界前20利斯特维扬卡小镇，博物馆，民俗村,￥6941,100%,7,1人,",塔利茨木制民族建筑博物馆，西伯利亚开拓者雕像，贝加尔湖博物馆，贝加尔湖，爱情桥",帥领惠,国庆，8月29日，9月5日，9月12日，9月19日，9月26日，10月3日，10月10日,",郑州出发| 郑州成团| 贝加尔湖 淡水海豹 木屋酒店 避暑圣地 无购物 奥利洪岛 ",城市观光纯玩无购物
http://www.tuniu.com/tour/210572104,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<西班牙+葡萄牙12日游>国庆正班期9月30日尾货15399/西班牙航空/罗卡角/白色米哈斯/龙达/双宫/圣家族大教堂/1天自由活动/1晚5星/免费WIFI,￥15399,96%,32,5人,",巴塞罗那大教堂，马德里皇宫，塞维利亚大教堂，瓦伦西亚大教堂，龙达，罗卡角，里斯本主教座堂",世界风情,9月30日,",上海出发| 上海成团| 首都马德里 巴塞罗那 塞维利亚 龙达 ",null
http://www.tuniu.com/tour/210427175,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<西班牙-葡萄牙11-12日游>优选航空/马德里皇宫/阿宫/巴塞罗那1天自由活动/A线1晚5星/C线升级粉红盐湖,￥8725,96%,32,5人,",巴塞罗那大教堂，马德里皇宫，塞维利亚大教堂，瓦伦西亚大教堂，龙达，罗卡角，里斯本主教座堂",世界风情,元旦，9月30日，10月14日，11月7日，11月22日，12月12日，1月2日，1月17日，1月23日，2月13日，2月16日，3月13日，3月16日，3月20日,",上海出发| 南京成团| 首都马德里 巴塞罗那 塞维利亚 龙达 ",人文探索
http://www.tuniu.com/tour/210642648,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<长春+长白山+镜泊湖+哈尔滨+太阳岛+海参崴三卧1动10日游>精彩边境游，含海鲜餐，品东北美食，观赏二人转表演SHOW，预定四重礼,￥3710,100%,6,1人,",斯大林公园，镜泊湖风景名胜区，乌苏里斯克市，长白山北坡，吊水楼瀑布，海参崴胜利广场，圣索菲亚大教堂，二战潜水艇博物馆，海参崴东正教堂，防洪纪念塔",阿里郎假期,8月24日,",北京出发| 长春成团| 边境游 海参崴 品美食 东北二人转 轻松出境 ",null
http://www.tuniu.com/tour/210451390,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<德法瑞意12日-13日游>青岛汉莎直飞，金色山口快车，雪山，贡多拉游船，塞纳河游船，卢浮宫，凡尔赛宫，wifi，特色餐，异地指纹,￥13310,90%,23,2人,",比萨斜塔，新天鹅堡，卢浮宫，凡尔赛宫",翔龙万里行,9月4日，9月11日，9月15日，9月18日，9月27日，10月23日，10月30日,",青岛出发| 青岛成团| 特色餐 法签 异地按指纹",湖光山色有自由活动
http://www.tuniu.com/tour/210443347,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德国+瑞士两国深度12日游>全含四五星，瑞士木屋和卓别林主题酒店，新天鹅堡，奔驰博物馆，铁力士/皮拉图斯山，西庸城堡，金色山口，WIFI,￥15806,100%,58,2人,",琉森（卢塞恩），金色山口快车，慕尼黑新市政厅，上阿默高，新天鹅堡，琉森湖，梅赛德斯，维斯朝圣教堂，铁力士山，法兰克福大教堂",翔龙万里行,10月13日，10月21日，11月8日,",上海出发| 上海成团| 德国猪肘餐 新天鹅堡 上阿默高 滴滴湖 莱茵瀑布 维斯朝圣教堂 ",湖光山色
http://www.tuniu.com/tour/210629423,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯-芬兰-瑞典-挪威-丹麦13日游>成都起止录指纹，西南免费联运，拒签全退，DE行程为一价全含，双峡湾，瑞典皇后岛，马尔默厄勒海峡大桥,￥12743,94%,5,1人,",赫尔辛基议会广场，岩石教堂，奥斯陆市政厅，赫尔辛基大教堂，夏宫，红场，奥斯陆歌剧院，皇后岛，瑞典皇宫，冬宫",友创国际,国庆，9月16日，9月25日，10月6日，10月21日，10月22日，10月26日，11月12日,",成都出发| 成都成团| 国航直飞 可异地录指纹 瑞典皇后岛 挪威圣诞小镇 厄勒跨海大桥 拒签全...",湖光山色可异地按指纹有自由活动
http://www.tuniu.com/tour/210519452,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<东欧奥地利+德国12日游>上海市名牌产品，25人小团，直飞，木屋酒店，新天鹅堡，3特色餐，哈尔施塔特，国王湖，鹰巢，WIFI,￥19010,100%,13,2人,",月亮湖，莫扎特广场，正义女神喷泉，新天鹅堡，罗马广场，英雄广场，瓦豪河谷，维也纳市政厅，维也纳国家歌剧院，黄金屋顶",众信旅游,9月26日，10月16日，10月28日,",上海出发| 上海成团| 25人小团 木屋酒店 巴登巴登温泉 WiFi ",有自由活动无自费
http://www.tuniu.com/tour/210551466,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯莫斯科+圣彼得堡9日游>深圳直飞 全国联运 莫斯科红场 夏宫园林 冬宫 莫斯科地铁 含全餐 保证拼房,￥10679,98%,121,18人,",莫斯科地铁，斯莫尔尼宫，彼得保罗要塞，夏宫，红场，克里姆林宫，冬宫",金色俄罗斯,9月20日,",深圳出发| 深圳成团| 深圳直飞 全国联运 夏宫花园 冬宫 红场克宫 谢镇 ",有自由活动
http://www.tuniu.com/tour/210611815,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<德国+法国+意大利+瑞士12-13日游>沈阳直飞 沈阳指纹 含服务费 直升飞机游览 法拉利火车  雪朗峰 双宫双船,￥16034,100%,5,1人,",叹息桥，新天鹅堡，罗马广场，罗马斗兽场，凡尔赛宫，道奇宫，圣马可广场，君士坦丁凯旋门，巴黎圣母院，法兰克福大教堂",联合旅游,9月21日,",沈阳出发| 沈阳成团| 汉莎航空 六菜一汤 新天鹅堡 凡尔赛宫 卢浮宫 因特拉肯",湖光山色有自由活动
http://www.tuniu.com/tour/210627185,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<欧洲德法意瑞12日游>北京起止 卢浮宫（入内参观）花宫娜香水博物馆 瑞士小镇 德国双天鹅堡 佛罗伦萨 威尼斯 含哈萨克斯坦阿斯塔纳市区游,￥8544,100%,5,1人,",巴黎圣母院，新天鹅堡，卢浮宫，高天鹅堡",国庆，9月26日，10月1日，10月3日，10月8日，10月10日，10月15日，10月17日，10月22日，10月24日，10月29日,,",北京出发| 北京成团",null
http://www.tuniu.com/tour/210480054,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<意大利+卡布里岛11日游>南京NEOS航空直飞米兰，4至5星，3大美食，五渔村，庞贝， 苏莲托，贡多拉，加尔达湖，双奥特莱斯，11处世遗，Wifi,￥11199,94%,177,22人,",叹息桥，许愿泉，圣马可教堂，罗马斗兽场，五渔村，佛罗伦萨市政厅广场，西尔米奥奈，白露里治奥，圣马可广场，古罗马废墟",众信旅游,中秋，9月7日，9月21日，9月24日，9月28日，10月19日,",南京出发| 南京成团| NEOS南京直飞白航班 波音787 深度一地 4-5星 特色美食 11...",湖光山色有自由活动无自费
http://www.tuniu.com/tour/210553702,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<希腊10日游>武汉起止，蜜月推荐，悬崖酒店海景房，太阳的后裔取景地 扎金索斯，沉船湾，武汉录指纹，羊排餐，龙虾餐，WIFI,￥17108,100%,4,1人,",雅典战争博物馆，雅典国家花园，德尔菲太阳神庙，雅典娜饭店，德尔菲博物馆，圣托里尼岛，泛雅典娜体育场，雅典大学，雅典娜胜利神庙，雅典女人街",寰宇旅游,中秋，国庆，9月16日，9月23日，10月2日，10月23日,",武汉出发| 北京成团| 武汉录指纹 特色餐 扎金索斯 米克诺斯岛 ",湖光山色有自由活动
http://www.tuniu.com/tour/210136829,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<欧亚大铁路13日游>北京起止，中蒙俄三国风情，铁路、航空新体验，察里津皇家庄园，金环小镇，莫斯科地铁，冬宫，夏宫花园,￥17729,100%,5,1人,",彼得保罗要塞，夏宫，红场，青铜骑士，滴血大教堂，涅瓦大街，克里姆林宫，冬宫，莫斯科河，莫斯科地铁",浪漫俄罗斯,9月19日,",北京出发| 北京成团| 铁路+飞机 皇家庄园 莫斯科地铁 全程升级酒店 魅力金环小镇 穿越中蒙...",城市观光
http://www.tuniu.com/tour/210594083,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯莫斯科圣彼得堡机票+当地8日游>郑州直航，莫斯科圣彼得堡游，莫斯科大学，红场，莫斯科地铁，古姆商场，金环谢镇，冬宫，夏宫花园,￥5759,87%,49,1人,",圣彼得堡狮身人面像，莫斯科地铁，瓦西里大教堂，莫斯科国立百货商场，夏宫，红场，察里津诺皇家庄园，俄罗斯冬宫博物馆，谢尔盖耶夫庄园，伊萨基耶夫斯基大教堂",捷达假期,中秋，国庆，9月22日，9月29日，10月6日，10月13日，10月20日，10月27日，11月3日，11月10日，11月17日，11月24日，12月1日，12月8日，12月15日，12月22日，12月29日,",郑州出发| 郑州成团| 莫斯科圣彼得堡游，莫斯科大学，红场，莫斯科地铁，古姆商场，金环谢镇，冬...",null
http://www.tuniu.com/tour/210165956,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<欧洲-西班牙葡萄牙13日游>成都直飞，一价全含，弗朗明戈表演，桃乐丝酒庄，龙达，Evora小城，西班牙海鲜饭，阿尔罕布拉宫,￥12389,94%,4,2人,",阿尔罕布拉宫，马德里皇宫，塞维利亚大教堂，瓦伦西亚大教堂，龙达，罗卡角，马约尔广场，巴特罗之家，米拉之家，神圣家族教堂",翔龙万里行,10月19日，11月16日，11月28日，12月3日,",成都出发| 成都成团| 圣家族大教堂 马德里皇宫 弗拉明戈 阿尔罕布拉宫 西班牙海鲜饭 塞维利...",null
http://www.tuniu.com/tour/210140496,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<西班牙+葡萄牙12日游>双点不走回头路，双宫入内，欧洲大阳台米哈斯，高迪建筑，世遗古城托莱多，龙达，巴塞自由，血拼奥莱，特色美食，拒签全退,￥12616,95%,99,21人,",米哈斯，马德里西班牙广场，罗卡角，格兰比亚大街，塞维利亚西班牙广场，加泰罗尼亚广场，奎尔公园，阿尔罕布拉宫，古城托莱多，龙达斗牛场",优耐德旅游,11月2日，11月7日，11月21日，12月12日，12月21日,",北京出发| 北京成团| 圣家族教堂 葡萄牙罗卡角 欧洲南欧西葡 米哈斯 阿尔罕布拉宫 塞维利亚...",自然遗产有自由活动
http://www.tuniu.com/tour/210641393,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯莫斯科+圣彼得堡8日游>郑州直航，莫斯科圣彼得堡游，莫斯科大学，红场，莫斯科地铁，古姆商场，金环谢镇，冬宫，夏宫花园,￥5553,87%,49,1人,",莫斯科地铁，圣彼得堡狮身人面像，瓦西里大教堂，莫斯科国立百货商场，夏宫，察里津诺皇家庄园，红场，俄罗斯冬宫博物馆，谢尔盖耶夫庄园，伊萨基耶夫斯基大教堂",捷达假期,中秋，国庆，9月22日，9月29日，10月6日，10月13日，10月20日，10月27日，11月3日,",郑州出发| 郑州成团| 莫斯科圣彼得堡游，莫斯科大学，红场，莫斯科地铁，古姆商场，金环谢镇，冬...",湖光山色有自由活动
http://www.tuniu.com/tour/210458861,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<德国+法国+瑞士+意大利14日游>济南往返直飞欧洲，华东城市可高铁联运，斯特拉斯堡，科尔马，卢浮宫，蒙帕纳斯大厦,￥9299,100%,4,1人,",叹息桥，协和广场，卡佩尔桥和水塔，布拉诺岛，圣马可教堂，新天鹅堡，圣马可广场，黄金屋顶，君士坦丁凯旋门，香榭丽舍大道",翔龙万里行,国庆，10月3日，10月10日,",济南出发| 济南成团",城市观光有自由活动
http://www.tuniu.com/tour/210213027,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<德法瑞意13日游>十大保障，两晚五星，TGV高速体验，雪郎峰，五渔村，尼斯，摩纳哥，艾日，戛纳，自由巴黎,￥25675,100%,4,1人,",巴黎圣母院，卡佩尔桥和水塔，巴黎塞纳河游船，雪朗峰，圣母百花大教堂，罗马斗兽场，卢浮宫，罗马许愿池，埃菲尔铁塔，凯旋门",联合旅游,国庆，9月21日，9月28日，10月5日，10月12日，10月19日，10月26日,",长沙出发| 长沙成团",null
http://www.tuniu.com/tour/210477249,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<捷克-奥地利-波兰14日游>25人团，升级3晚五星，1晚湖区酒店，波兰火车体验，梅尔克修道院，瓦豪，哥白尼故乡托伦，疗养胜地索波特,￥21928,100%,1,1人,",圣维特大教堂，华沙老城，黄金小巷，圣芭芭拉大教堂，梅尔克修道院，奥斯维辛集中营，美泉宫",优耐德旅游,10月22日,",北京出发| 北京成团| 东欧深度小团 湖区酒店 特色美食 ",湖光山色
http://www.tuniu.com/tour/210615816,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[中秋]<英国7晚9日游>武汉出发含领队含签证费，武汉录指纹，南航可联运，四星酒店，一天自由活动，入内大英博物馆和爱丁堡城堡，牛津剑桥双学府,￥12039,100%,2,1人,",大本钟，大英博物馆，温德米尔湖，温莎城堡，伊顿公学，白金汉宫，约克肉铺街，剑桥大学康河，剑桥大学城，牛津大学",南洋汇,中秋，国庆，9月10日，9月24日，10月1日，10月8日，10月15日，10月22日,",武汉出发| 武汉成团| 南航直飞 武汉录指纹 优质住宿 名校游览 自由活动 ",湖光山色有自由活动
http://www.tuniu.com/tour/210607134,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,"<英国-爱尔兰14或17日游>牛津剑桥,爱丁堡,温德米尔湖区,莫赫悬崖,巨人堤，比斯特购物村,B行程威尔士卡迪夫，巨石阵，Luss小镇，洛蒙德湖，Glencoe峡谷",￥16767,100%,2,1人,",白厅街，宝尔势格庄园，彼斯特，巴斯修道院，牛津大学，湖区国家公园，苏格兰，爱丁堡城堡，苏格兰高地，王子街",中旅美腾旅游,10月21日，11月15日,",上海出发| 上海成团| 庄园之旅 英国特色餐 比斯特欢乐购  指定団期一天自由活动",湖光山色有自由活动
http://www.tuniu.com/tour/210561599,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<西班牙+葡萄牙12日游>欧洲自营，15人高端小团，市区4到5星酒店，5大特色餐，双球场，AVE高铁，佛朗明哥舞，巴塞全天自由活动，一价全含，免费WiFi,￥21899,100%,3,1人,",蒙特塞拉特修道院，贝伦塔，蒙特惠奇山，格兰比亚大街，巴塞罗那毕加索博物馆，兰布拉大街，加泰罗尼亚广场，科英布拉圣十字修道院，发现者纪念碑，哥多华",途牛国旅,11月24日，1月12日，3月2日，3月16日，4月2日,",上海出发| 上海成团| 四星酒店，罗卡角，埃武拉，古罗马引水渠，风车村，龙达",有自由活动无自费
http://www.tuniu.com/tour/210483638,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<俄罗斯8日游>贵阳包机直飞莫斯科，畅游俄罗斯首选，全程四星，高铁，金环小镇，冬宫，夏宫，叶卡捷琳娜花园，克里姆林宫,￥9484,100%,4,1人,",叶卡捷琳娜宫，夏宫，克里姆林宫，冬宫",新界旅游,国庆，9月11日，9月18日，9月25日，10月2日，10月9日，10月16日，10月23日，10月30日,",贵阳出发| 贵阳成团| 俄罗斯 包机 莫斯科 ",null
http://www.tuniu.com/tour/210582502,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<东欧+西欧17日游>哈起止，哈录指纹，一价全含，含瑞士雪山、卢浮宫、凡尔赛宫、双宫讲解，双游船,￥12576,100%,4,1人,",比萨斜塔",联合旅游,国庆，9月12日，9月19日，9月26日，10月3日，10月10日，10月17日，10月24日，10月31日,",哈尔滨出发| 哈尔滨成团| 一价全含 东西欧全景 库肯霍夫花园",湖光山色可异地按指纹有自由活动
http://www.tuniu.com/tour/210525385,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德国+法国+瑞士+意大利10-12日游>尾货精选，MU或HU直飞可联运，卢浮宫， 香榭丽舍大道， 部分班期升级设计师或五星酒店,￥7261,100%,15,4人,",琉森（卢塞恩），金融街，协和广场，蒙帕纳斯大厦，米拉波林荫大道，卢克索方尖碑，苏黎世湖，冰川快车，大喷泉和大花钟，加尔桥",寰宇旅游,国庆，10月2日，10月9日,",上海出发| 上海成团| 意大利四星 卢浮宫 城堡 埃菲尔铁塔 ",null
http://www.tuniu.com/tour/210138765,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<意大利一地12日游>世遗小城阿尔贝罗贝洛，马泰拉古城，阿玛菲海岸，梦乡波西塔诺，锡耶纳，庞贝比萨，卡布里岛，奥莱，4星27人团,￥20185,87%,15,2人,",叹息桥，圣马可教堂，罗马斗兽场，西班牙台阶，波西塔诺圣母教堂，佛罗伦萨市政厅广场，圣马可广场，君士坦丁凯旋门，米兰大教堂，马泰拉Matera",领先旅游,9月25日，10月14日,",北京出发| 威尼斯成团| 四星精选酒店 27人精品团 世界遗产 特色美食 含小费 漫游宝/2人",可异地按指纹
http://www.tuniu.com/package/210568153,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国巴黎婚纱摄影一日游>4服3造，40张精修，艾菲尔铁塔， 圣母院，卢浮宫等知名场景拍摄，精美后期产品包邮,￥19999,100%,8,1人,",埃菲尔铁塔",中秋，国庆，8月29日，8月30日，8月31日，9月1日，9月2日，9月3日，9月4日，9月5日，9月6日，9月7日，9月8日，9月9日，9月10日，9月11日，9月12日，9月13日，9月14日，9月15日，9月16日，9月17日，9月18日，9月19日，9月20日，9月21日，9月22日，9月23日，9月24日，9月25日，9月26日，9月27日，9月28日，9月29日，9月30日，10月1日，10月2日，10月3日，10月4日，10月5日，10月6日，10月7日，10月8日，10月9日，10月10日，10月11日，10月12日，10月13日，10月14日，10月15日，10月16日，10月17日，10月18日，10月19日，10月20日，10月21日，10月22日，10月23日，10月24日，10月25日，10月26日，10月27日，10月28日，10月29日，10月30日，10月31日，11月1日，11月2日，11月3日，11月4日，11月5日，11月6日，11月7日，11月8日，11月9日，11月10日，11月11日，11月12日，11月13日，11月14日，11月15日，11月16日，11月17日，11月18日，11月19日，11月20日，11月21日，11月22日，11月23日，11月24日，11月25日，11月26日，11月27日，11月28日，11月29日，11月30日，12月1日，12月2日，12月3日，12月4日，12月5日，12月6日，12月7日，12月8日，12月9日，12月10日，12月11日，12月12日，12月13日，12月14日，12月15日，12月16日，12月17日，12月18日，12月19日，12月20日，12月21日，12月22日，12月23日，12月24日，12月25日，12月26日，12月27日，12月28日，12月29日，12月30日，12月31日,,",法国 巴黎  巴黎婚纱照 巴黎婚纱摄影 巴黎婚拍 巴黎旅拍",null
http://www.tuniu.com/tour/210166203,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[春节]<俄罗斯莫斯科-圣彼得堡-摩尔曼斯克9日游>摩尔曼斯克2晚，冬宫，夏宫花园，追寻欧洲神秘北极光，喂驯鹿，雪地摩托，列宁号破冰船,￥9611,98%,87,16人,",彼得保罗要塞，夏宫，红场，青铜骑士，滴血大教堂，涅瓦大街，克里姆林宫，冬宫，涅瓦大街，瓦西里大教堂",金色俄罗斯,12月14日,",上海出发| 上海成团| 红场 莫斯科地铁 金环小镇 摩尔曼斯克 夏宫花园 冬宫 ",自然遗产有自由活动
http://www.tuniu.com/tour/210606080,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯8日6晚游>福州直飞莫斯科，入内圣彼得堡冬宫，夏宫，双庄园，彼得保罗要塞，阅览苏俄历史，观看女皇藏品,￥7599,87%,14,2人,",红场，列宁墓，克里姆林宫，列宁山观景台，无名英雄纪念碑，莫斯科国立大学，喀山大教堂",茉莉花假期,国庆，9月18日，9月25日，10月2日，10月9日，10月16日，10月23日，10月30日,",福州出发| 长乐市成团| 福州直飞 圣彼得堡冬宫 ",湖光山色有自由活动
http://www.tuniu.com/tour/210422925,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<香港往返-俄罗斯-莫斯科+圣彼得堡9日游>精致小团，全程六大特色餐厅， 舒心四星住宿，中文领队，当地中文导游讲解,￥12074,100%,10,5人,",彼得保罗要塞，察里津诺皇家庄园，红场，青铜骑士，克里姆林宫，冬宫，莫斯科河，圣母升天大教堂，莫斯科地铁，斯莫尔尼宫",倾馨旅程,国庆，10月2日,",深圳出发| 深圳成团| 总统木屋餐厅 普希金咖啡馆 格鲁吉亚餐厅 ",null
http://www.tuniu.com/tour/210593391,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<西西里岛+意大利一地14日游>25人精致小团，蜜月推荐，阿玛菲海岸 卡布里岛 五渔村 维罗纳 彩虹岛，The Mall，WIFI,￥26842,100%,3,1人,",布拉诺岛，佛罗伦萨圣十字广场，五渔村，佛罗伦萨市政厅广场，加尔达湖，圣天使桥，君士坦丁凯旋门，普雷比席特广场，西班牙广场，奇迹广场",凯撒旅游,9月27日,",上海出发| 上海成团| 阿玛菲海岸 卡布里岛 五渔村 古城庞贝 彩虹岛 ",可异地按指纹有自由活动
http://www.tuniu.com/tour/210138350,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<希腊-西班牙葡萄牙15日游>含服务费，全程四星，圣岛自由活动，巴塞罗那，奥特莱斯，人骨教堂，圣家堂，米哈斯，罗卡角，特色餐，WIFI,￥19933,99%,61,12人,",伊亚，圣托里尼岛，罗卡角，孔苏埃格拉风车村，加泰罗尼亚广场，奎尔公园，皮拉尔圣母大教堂，马德里皇宫，塞维利亚大教堂，雅典卫城",翔龙万里行,10月16日,",北京出发| 比雷埃夫斯州成团| 欧洲南欧希西葡 塞维利亚 伊亚小镇 雅典 巴塞罗那 圣托里尼岛 ",有自由活动
http://www.tuniu.com/tour/210596849,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<西班牙-葡萄牙-摩洛哥-突尼斯18日游>15人，含服务费，三特色餐，4至5星，AVE，旅行三宝和转换插头，迦太基，四大皇城，舍夫沙万,￥30865,100%,2,1人,",贝伦塔，太阳门广场，丹吉尔麦地那，托莱多大教堂，龙达，罗卡角，突尼斯麦地那老城区，马约尔广场，塞维利亚西班牙广场，哈桑二世清真寺",中旅总社,10月16日,",北京出发| 北京成团| 门票官导讲 美丽蓝白小镇 环地中海之旅 饕餮美食盛宴 酒店升级 AVE...",小团出游(10人左右)
http://www.tuniu.com/tour/210631785,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<西班牙+葡萄牙12天游>深圳起止，全4星，马德里皇宫，阿尔罕布拉宫，两天自由活动，里斯本，贝林塔，海洋发现纪念碑，斗牛之城龙达，两国连游,￥12189,100%,2,1人,",贝伦塔，阿尔罕布拉宫，航海大发现纪念碑，黄金塔，罗卡角，巴特罗之家，隆达斗牛场，自由大道",特色旅游,国庆，10月1日,",深圳出发| 深圳成团| 香港EK 航海纪念碑 里斯本 阿尔罕布拉宫 马德里皇宫 龙达",自然遗产有自由活动
http://www.tuniu.com/tour/210436479,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德法意瑞四国12-13日游>直飞欧洲 阿尔卑斯山 双宫含讲解  琉森湖游船or塞纳河游船 意大利特色餐 WIFI,￥11752,93%,113,20人,",巴黎艺术大桥，琉森（卢塞恩），卢森堡宪法广场，佛罗伦萨国立美术学院画廊，罗马圣母大殿，巴黎塞纳河游船，卢森堡大峡谷，佛罗伦萨市政厅，琉森湖，罗马斗兽场",寰宇旅游,中秋，国庆，9月5日，9月17日，9月24日，10月1日，10月3日，10月10日，10月15日，10月17日，10月22日，10月24日，10月31日,",长沙出发| 长沙成团| 两地录指纹 自费大礼包 不走回头路 金色环游 金色旅程",自然遗产
http://www.tuniu.com/tour/210549456,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<西班牙葡萄牙11-13日游>汉莎/南京录指纹/4至5星/一价全含/阿尔罕布拉宫/弗拉明戈/马德里皇宫/提比达波山/圣家族教堂/球星御用餐厅/LaRoca奥莱城/WiFi,￥14567,87%,8,2人,",叹息桥，协和广场，圣马可教堂，新天鹅堡，圣母百花大教堂，香榭丽舍大道，廊桥水塔，罗马斗兽场，卢浮宫，埃菲尔铁塔",江南环游之旅,10月25日,",南京出发| 南京成团",null
